"","X.U.FEFF.","ticker","twin","name","exch","cat","country","stockNumber"
"Moog Inc..NYQ.20",916,"MOG-A","x","Moog Inc.","NYQ","Aerospace/Defense Products & Services","USA",46
"Moog Inc..NYQ.21",3640,"MOG-B","x","Moog Inc.","NYQ","","USA",46
"NCC AB.STO.280",16725,"NCC-B.ST","x","NCC AB","STO","General Contractors","Sweden",47
"NCC AB.STO.281",28105,"NCC-A.ST","x","NCC AB","STO","General Contractors","Sweden",47
"Newfoundland Capital Corporation Limited.TOR.278",16602,"NCC-A.TO","x","Newfoundland Capital Corporation Limited","TOR","Broadcasting - Radio","Canada",48
"Newfoundland Capital Corporation Limited.TOR.279",16724,"NCC-B.TO","x","Newfoundland Capital Corporation Limited","TOR","","Canada",48
"Novo Nordisk A/S.GER.185",17182,"NOVA.DE","x","Novo Nordisk A/S","GER","Biotechnology","Germany",49
"Novo Nordisk A/S.GER.186",61403,"NOVC.DE","x","Novo Nordisk A/S","GER","","Germany",49
"Ortivus AB (publ).STO.500",28598,"ORTI-B.ST","x","Ortivus AB (publ)","STO","Medical Instruments & Supplies","Sweden",50
"Ortivus AB (publ).STO.501",28664,"ORTI-A.ST","x","Ortivus AB (publ)","STO","Medical Instruments & Supplies","Sweden",50
"Ovivo Inc..TOR.672",18235,"OVI-A.TO","x","Ovivo Inc.","TOR","","Canada",51
"Ovivo Inc..TOR.673",51662,"OVI-B.TO","x","Ovivo Inc.","TOR","","Canada",51
"Postmedia Network Canada Corp..TOR.286",16952,"PNC-B.TO","x","Postmedia Network Canada Corp.","TOR","Industrial Metals & Minerals","Canada",52
"Postmedia Network Canada Corp..TOR.287",16953,"PNC-A.TO","x","Postmedia Network Canada Corp.","TOR","","Canada",52
"Quebecor Inc..TOR.298",16178,"QBR-A.TO","x","Quebecor Inc.","TOR","Wireless Communications","Canada",53
"Quebecor Inc..TOR.299",18796,"QBR-B.TO","x","Quebecor Inc.","TOR","Wireless Communications","Canada",53
"Questfire Energy Corp..VAN.303",7836,"Q-A.V","x","Questfire Energy Corp.","VAN","","Canada",54
"Questfire Energy Corp..VAN.304",18974,"Q-B.V","x","Questfire Energy Corp.","VAN","","Canada",54
"Ratos AB.STO.494",28491,"RATO-A.ST","x","Ratos AB","STO","Asset Management","Sweden",55
"Ratos AB.STO.495",28549,"RATO-B.ST","x","Ratos AB","STO","Asset Management","Sweden",55
"Richco Investors Inc..VAN.679",56328,"RII-B.V","x","Richco Investors Inc.","VAN","","Canada",56
"Richco Investors Inc..VAN.680",95063,"RII-K.V","x","Richco Investors Inc.","VAN","","Canada",56
"Rockwool International A/S.CPH.710",61427,"ROCK-A.CO","x","Rockwool International A/S","CPH","","Denmark",57
"Rockwool International A/S.CPH.711",61462,"ROCK-B.CO","x","Rockwool International A/S","CPH","","Denmark",57
"Rogers Communications Inc..TOR.306",19575,"RCI-A.TO","x","Rogers Communications Inc.","TOR","Wireless Communications","Canada",58
