,ticker,twin,name,exch,cat,country
42896,BBDB.DE,,Bombardier Inc.,FRA,,France
42902,BBD-PB.TO,,Bombardier Inc.,TOR,,Canada
42940,BBDB.F,,Bombardier Inc.,FRA,,France
43009,BBDB.SW,,Bombardier Inc.,EBS,,Switzerland
43053,BBD-PC.TO,,Bombardier Inc.,TOR,,Canada
43408,BDRAF,,Bombardier Inc.,PNK,,USA
43419,BDRPF,,Bombardier Inc.,PNK,,USA
49973,BOMBF,,Bombardier Inc.,PNK,,USA
3082,TS-B.TO,,Torstar Corporation,TOR,Conglomerates,Canada
100106,TORSF,,Torstar Corporation,PNK,,USA
3160,FBS-B.TO,,5Banc Split Inc.,TOR,,Canada
3534,TPX-B.TO,x,Molson Coors Canada Inc.,TOR,Beverages - Brewers,Canada
3535,TPX-A.TO,x,Molson Coors Canada Inc.,TOR,Beverages - Brewers,Canada
5566,DII-A.TO,x,Dorel Industries Inc.,TOR,Home Furnishings & Fixtures,Canada
5792,DII-B.TO,x,Dorel Industries Inc.,TOR,Home Furnishings & Fixtures,Canada
60935,DIIBF,,Dorel Industries Inc.,PNK,,USA
61926,DO4B.F,,Dorel Industries Inc.,FRA,,France
88,NVO,,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA
5898,NOVO-B.CO,,Novo Nordisk A/S,CPH,,Denmark
17182,NOVA.DE,x,Novo Nordisk A/S,GER,Biotechnology,Germany
61403,NOVC.DE,x,Novo Nordisk A/S,GER,,Germany
61465,0QIU.L,,Novo Nordisk A/S,LSE,,United Kingdom
61499,NOVC.F,,Novo Nordisk A/S,FRA,,France
61630,NOVOB.SW,,Novo Nordisk A/S,EBS,,Switzerland
90488,NONOF,,Novo Nordisk A/S,PNK,,USA
90544,NOVA.F,,Novo Nordisk A/S,FRA,Biotechnology,France
90574,NVON.MX,,Novo Nordisk A/S,MEX,Biotechnology,Mexico
1478,AMKBY,,A.P. Møller - Mærsk A/S,PNK,,USA
5926,MAERSK-B.CO,x,A.P. Møller - Mærsk A/S,CPH,,Denmark
36086,AMKBF,,A.P. Møller - Mærsk A/S,PNK,,USA
36087,AMKAF,,A.P. Møller - Mærsk A/S,PNK,,USA
37926,DP4B.F,,A.P. Møller - Mærsk A/S,FRA,,France
37996,DP4A.F,,A.P. Møller - Mærsk A/S,FRA,,France
61495,MAERSK-A.CO,x,A.P. Møller - Mærsk A/S,CPH,,Denmark
61550,0O77.L,,A.P. Møller - Mærsk A/S,LSE,,United Kingdom
61585,0O76.L,,A.P. Møller - Mærsk A/S,LSE,,United Kingdom
5552,DHXM,,DHX Media Ltd.,NMS,,USA
